lambda111,lambda112,lambda123,euclidean
0.20000,0.48000,0.32000,0.00084721
0.20000,0.52000,0.28000,0.00071578
0.20000,0.56000,0.24000,0.00069006
0.20000,0.60000,0.20000,0.00064417
0.20000,0.64000,0.16000,0.00080182
0.20000,0.68000,0.12000,0.00068610
0.20000,0.72000,0.08000,0.00072709
0.20000,0.76000,0.04000,0.00096317
0.20000,0.80000,0.00000,0.00289942
0.24000,0.00000,0.76000,0.00755351
0.24000,0.04000,0.72000,0.00240851
0.24000,0.08000,0.68000,0.00653896
0.24000,0.12000,0.64000,0.01000542
0.24000,0.16000,0.60000,0.01106703
0.24000,0.20000,0.56000,0.01062699
0.24000,0.24000,0.52000,0.01006409
0.24000,0.28000,0.48000,0.00740514
0.24000,0.32000,0.44000,0.00544808
0.24000,0.36000,0.40000,0.00224568
0.24000,0.40000,0.36000,0.00176990
0.24000,0.44000,0.32000,0.00166037
0.24000,0.48000,0.28000,0.00109210
0.24000,0.52000,0.24000,0.00144460
0.24000,0.56000,0.20000,0.00174611
0.24000,0.60000,0.16000,0.00181115
0.24000,0.64000,0.12000,0.00224725
0.24000,0.68000,0.08000,0.00247485
0.24000,0.72000,0.04000,0.00170859
0.24000,0.76000,0.00000,0.00147249
0.28000,0.00000,0.72000,0.01518322
0.28000,0.04000,0.68000,0.01685010
0.28000,0.08000,0.64000,0.01789016
0.28000,0.12000,0.60000,0.02096907
0.28000,0.16000,0.56000,0.02344696
0.28000,0.20000,0.52000,0.02074459
0.28000,0.24000,0.48000,0.01821322
0.28000,0.28000,0.44000,0.01444577
0.28000,0.32000,0.40000,0.01054741
0.28000,0.36000,0.36000,0.00491200
0.28000,0.40000,0.32000,0.00573450
0.28000,0.44000,0.28000,0.00318887
0.28000,0.48000,0.24000,0.00428881
0.28000,0.52000,0.20000,0.00537571
0.28000,0.56000,0.16000,0.00693878
0.28000,0.60000,0.12000,0.00996344
0.28000,0.64000,0.08000,0.01197057
0.28000,0.68000,0.04000,0.01460841
0.28000,0.72000,0.00000,0.01361272
0.32000,0.00000,0.68000,0.03350738
0.32000,0.04000,0.64000,0.03393138
0.32000,0.08000,0.60000,0.03520252
0.32000,0.12000,0.56000,0.03576043
0.32000,0.16000,0.52000,0.03354613
0.32000,0.20000,0.48000,0.02916576
0.32000,0.24000,0.44000,0.02492110
0.32000,0.28000,0.40000,0.02044274
0.32000,0.32000,0.36000,0.01980139
0.32000,0.36000,0.32000,0.01589882
0.32000,0.40000,0.28000,0.01425919
0.32000,0.44000,0.24000,0.01673590
0.32000,0.48000,0.20000,0.02020136
0.32000,0.52000,0.16000,0.02347396
0.32000,0.56000,0.12000,0.02439485
0.32000,0.60000,0.08000,0.02824598
0.32000,0.64000,0.04000,0.03149301
0.32000,0.68000,-0.00000,0.03355721
0.36000,0.00000,0.64000,0.04825618
0.36000,0.04000,0.60000,0.04990577
0.36000,0.08000,0.56000,0.05139206
0.36000,0.12000,0.52000,0.04905795
0.36000,0.16000,0.48000,0.04699030
0.36000,0.20000,0.44000,0.04221815
0.36000,0.24000,0.40000,0.03895451
0.36000,0.28000,0.36000,0.03330681
0.36000,0.32000,0.32000,0.03038842
0.36000,0.36000,0.28000,0.03098048
0.36000,0.40000,0.24000,0.03273891
0.36000,0.44000,0.20000,0.03628482
0.36000,0.48000,0.16000,0.04075968
0.36000,0.52000,0.12000,0.04397038
0.36000,0.56000,0.08000,0.04555660
0.36000,0.60000,0.04000,0.04857871
0.36000,0.64000,0.00000,0.05213100
0.40000,0.00000,0.60000,0.06561964
0.40000,0.04000,0.56000,0.06690895
0.40000,0.08000,0.52000,0.06642809
0.40000,0.12000,0.48000,0.06417280
0.40000,0.16000,0.44000,0.06002952
0.40000,0.20000,0.40000,0.05627879
0.40000,0.24000,0.36000,0.05167498
0.40000,0.28000,0.32000,0.04894412
0.40000,0.32000,0.28000,0.04840426
0.40000,0.36000,0.24000,0.05012625
0.40000,0.40000,0.20000,0.05251955
0.40000,0.44000,0.16000,0.05600347
0.40000,0.48000,0.12000,0.06033297
0.40000,0.52000,0.08000,0.06286822
0.40000,0.56000,0.04000,0.06659387
0.40000,0.60000,0.00000,0.06965019
0.44000,0.00000,0.56000,0.08359342
0.44000,0.04000,0.52000,0.08218873
0.44000,0.08000,0.48000,0.08097835
0.44000,0.12000,0.44000,0.07820623
0.44000,0.16000,0.40000,0.07415944
0.44000,0.20000,0.36000,0.07145105
0.44000,0.24000,0.32000,0.06896729
0.44000,0.28000,0.28000,0.06793411
0.44000,0.32000,0.24000,0.06852607
0.44000,0.36000,0.20000,0.07070236
0.44000,0.40000,0.16000,0.07333555
0.44000,0.44000,0.12000,0.07674322
0.44000,0.48000,0.08000,0.08019471
0.44000,0.52000,0.04000,0.08292690
0.44000,0.56000,0.00000,0.08686066
0.48000,0.00000,0.52000,0.09873862
0.48000,0.04000,0.48000,0.09896786
0.48000,0.08000,0.44000,0.09636481
0.48000,0.12000,0.40000,0.09338056
0.48000,0.16000,0.36000,0.09075610
0.48000,0.20000,0.32000,0.08930640
0.48000,0.24000,0.28000,0.08818165
0.48000,0.28000,0.24000,0.08813566
0.48000,0.32000,0.20000,0.08929025
0.48000,0.36000,0.16000,0.09145120
0.48000,0.40000,0.12000,0.09450522
0.48000,0.44000,0.08000,0.09777308
0.48000,0.48000,0.04000,0.10077524
0.48000,0.52000,0.00000,0.10360822
