s111,s112,s123,euclidean
0.00000,0.00000,1.00000,0.02075886
0.00000,0.04000,0.96000,0.01447748
0.00000,0.08000,0.92000,0.00843518
0.00000,0.12000,0.88000,0.00420887
0.00000,0.16000,0.84000,0.00230192
0.00000,0.20000,0.80000,0.00139784
0.00000,0.24000,0.76000,0.00093776
0.00000,0.28000,0.72000,0.00094341
0.00000,0.32000,0.68000,0.00094174
0.00000,0.36000,0.64000,0.00102258
0.00000,0.40000,0.60000,0.00151357
0.00000,0.44000,0.56000,0.00207418
0.00000,0.48000,0.52000,0.00231664
0.00000,0.52000,0.48000,0.00256657
0.00000,0.56000,0.44000,0.00251939
0.00000,0.60000,0.40000,0.00189356
0.00000,0.64000,0.36000,0.00264720
0.00000,0.68000,0.32000,0.00248103
0.00000,0.72000,0.28000,0.00516903
0.00000,0.76000,0.24000,0.00549192
0.00000,0.80000,0.20000,0.00723313
0.00000,0.84000,0.16000,0.01084520
0.00000,0.88000,0.12000,0.01360957
0.00000,0.92000,0.08000,0.01836943
0.00000,0.96000,0.04000,0.02175116
0.00000,1.00000,0.00000,0.02674802
0.04000,0.00000,0.96000,0.02530091
0.04000,0.04000,0.92000,0.02086217
0.04000,0.08000,0.88000,0.01490641
0.04000,0.12000,0.84000,0.00841951
0.04000,0.16000,0.80000,0.00512268
0.04000,0.20000,0.76000,0.00384618
0.04000,0.24000,0.72000,0.00243589
0.04000,0.28000,0.68000,0.00145495
0.04000,0.32000,0.64000,0.00270122
0.04000,0.36000,0.60000,0.00271565
0.04000,0.40000,0.56000,0.00363984
0.04000,0.44000,0.52000,0.00375459
0.04000,0.48000,0.48000,0.00035345
0.04000,0.52000,0.44000,0.00352033
0.04000,0.56000,0.40000,0.00187661
0.04000,0.60000,0.36000,0.00157766
0.04000,0.64000,0.32000,0.00205959
0.04000,0.68000,0.28000,0.00222075
0.04000,0.72000,0.24000,0.00237742
0.04000,0.76000,0.20000,0.00316063
0.04000,0.80000,0.16000,0.00427135
0.04000,0.84000,0.12000,0.00746214
0.04000,0.88000,0.08000,0.00933044
0.04000,0.92000,0.04000,0.01489888
0.04000,0.96000,0.00000,0.02153051
0.08000,0.00000,0.92000,0.02705838
0.08000,0.04000,0.88000,0.02135439
0.08000,0.08000,0.84000,0.01598297
0.08000,0.12000,0.80000,0.01027764
0.08000,0.16000,0.76000,0.00558755
0.08000,0.20000,0.72000,0.00296577
0.08000,0.24000,0.68000,0.00274878
0.08000,0.28000,0.64000,0.00283521
0.08000,0.32000,0.60000,0.00216392
0.08000,0.36000,0.56000,0.00128512
0.08000,0.40000,0.52000,0.00129264
0.08000,0.44000,0.48000,0.00131624
0.08000,0.48000,0.44000,0.00102864
0.08000,0.52000,0.40000,0.00119764
0.08000,0.56000,0.36000,0.00066769
0.08000,0.60000,0.32000,0.00096198
0.08000,0.64000,0.28000,0.00077878
0.08000,0.68000,0.24000,0.00106498
0.08000,0.72000,0.20000,0.00145997
0.08000,0.76000,0.16000,0.00175056
0.08000,0.80000,0.12000,0.00277597
0.08000,0.84000,0.08000,0.00246285
0.08000,0.88000,0.04000,0.00171581
0.08000,0.92000,0.00000,0.00836923
0.12000,0.00000,0.88000,0.02442096
0.12000,0.04000,0.84000,0.01903789
0.12000,0.08000,0.80000,0.01421394
0.12000,0.12000,0.76000,0.00893563
0.12000,0.16000,0.72000,0.00721627
0.12000,0.20000,0.68000,0.00483330
0.12000,0.24000,0.64000,0.00294482
0.12000,0.28000,0.60000,0.00207860
0.12000,0.32000,0.56000,0.00327655
0.12000,0.36000,0.52000,0.00244354
0.12000,0.40000,0.48000,0.00180007
0.12000,0.44000,0.44000,0.00104136
0.12000,0.48000,0.40000,0.00087019
0.12000,0.52000,0.36000,0.00076387
0.12000,0.56000,0.32000,0.00064216
0.12000,0.60000,0.28000,0.00052414
0.12000,0.64000,0.24000,0.00065788
0.12000,0.68000,0.20000,0.00078261
0.12000,0.72000,0.16000,0.00100683
0.12000,0.76000,0.12000,0.00092135
0.12000,0.80000,0.08000,0.00226279
0.12000,0.84000,0.04000,0.00191686
0.12000,0.88000,0.00000,0.00850825
0.16000,0.00000,0.84000,0.02091468
0.16000,0.04000,0.80000,0.01564903
0.16000,0.08000,0.76000,0.01261060
0.16000,0.12000,0.72000,0.01081450
0.16000,0.16000,0.68000,0.00566023
0.16000,0.20000,0.64000,0.00733414
0.16000,0.24000,0.60000,0.00564411
0.16000,0.28000,0.56000,0.00500056
0.16000,0.32000,0.52000,0.00377086
0.16000,0.36000,0.48000,0.00369106
0.16000,0.40000,0.44000,0.00280843
0.16000,0.44000,0.40000,0.00161432
0.16000,0.48000,0.36000,0.00135241
0.16000,0.52000,0.32000,0.00144173
0.16000,0.56000,0.28000,0.00131753
0.16000,0.60000,0.24000,0.00129531
0.16000,0.64000,0.20000,0.00107103
0.16000,0.68000,0.16000,0.00099381
0.16000,0.72000,0.12000,0.00089358
0.16000,0.76000,0.08000,0.00111644
0.16000,0.80000,0.04000,0.00177600
0.16000,0.84000,0.00000,0.00594818
0.20000,0.00000,0.80000,0.02513445
0.20000,0.04000,0.76000,0.01999429
0.20000,0.08000,0.72000,0.01656713
0.20000,0.12000,0.68000,0.01457311
0.20000,0.16000,0.64000,0.01326655
0.20000,0.20000,0.60000,0.01058388
0.20000,0.24000,0.56000,0.01078402
0.20000,0.28000,0.52000,0.00756314
0.20000,0.32000,0.48000,0.00582353
0.20000,0.36000,0.44000,0.00390411
0.20000,0.40000,0.40000,0.00501816
0.20000,0.44000,0.36000,0.00436865
0.20000,0.48000,0.32000,0.00402783
0.20000,0.52000,0.28000,0.00416044
0.20000,0.56000,0.24000,0.00514928
0.20000,0.60000,0.20000,0.00608233
0.20000,0.64000,0.16000,0.00572035
0.20000,0.68000,0.12000,0.00625305
0.20000,0.72000,0.08000,0.00586219
0.20000,0.76000,0.04000,0.00503368
0.20000,0.80000,0.00000,0.00426196
0.24000,0.00000,0.76000,0.03163110
0.24000,0.04000,0.72000,0.02753654
0.24000,0.08000,0.68000,0.02495320
0.24000,0.12000,0.64000,0.02436658
0.24000,0.16000,0.60000,0.02449275
