s111,s112,s123,euclidean
0.24000,0.20000,0.56000,0.02028372
0.24000,0.24000,0.52000,0.01692371
0.24000,0.28000,0.48000,0.01374838
0.24000,0.32000,0.44000,0.01171217
0.24000,0.36000,0.40000,0.00857555
0.24000,0.40000,0.36000,0.00846462
0.24000,0.44000,0.32000,0.00862257
0.24000,0.48000,0.28000,0.01135167
0.24000,0.52000,0.24000,0.01139391
0.24000,0.56000,0.20000,0.01329028
0.24000,0.60000,0.16000,0.01496274
0.24000,0.64000,0.12000,0.01557265
0.24000,0.68000,0.08000,0.01709781
0.24000,0.72000,0.04000,0.01831243
0.24000,0.76000,0.00000,0.01764141
0.28000,0.00000,0.72000,0.03819451
0.28000,0.04000,0.68000,0.03605984
0.28000,0.08000,0.64000,0.03533370
0.28000,0.12000,0.60000,0.03410193
0.28000,0.16000,0.56000,0.03079010
0.28000,0.20000,0.52000,0.02789722
0.28000,0.24000,0.48000,0.02429701
0.28000,0.28000,0.44000,0.02063448
0.28000,0.32000,0.40000,0.01884478
0.28000,0.36000,0.36000,0.01734983
0.28000,0.40000,0.32000,0.01796272
0.28000,0.44000,0.28000,0.02119358
0.28000,0.48000,0.24000,0.02450552
0.28000,0.52000,0.20000,0.02637089
0.28000,0.56000,0.16000,0.02799422
0.28000,0.60000,0.12000,0.03002520
0.28000,0.64000,0.08000,0.03251867
0.28000,0.68000,0.04000,0.03409647
0.28000,0.72000,0.00000,0.03494515
0.32000,0.00000,0.68000,0.05054724
0.32000,0.04000,0.64000,0.04942472
0.32000,0.08000,0.60000,0.04723969
0.32000,0.12000,0.56000,0.04422703
0.32000,0.16000,0.52000,0.04117039
0.32000,0.20000,0.48000,0.03776865
0.32000,0.24000,0.44000,0.03500048
0.32000,0.28000,0.40000,0.03265467
0.32000,0.32000,0.36000,0.03184789
0.32000,0.36000,0.32000,0.03269427
0.32000,0.40000,0.28000,0.03418831
0.32000,0.44000,0.24000,0.03674892
0.32000,0.48000,0.20000,0.04048200
0.32000,0.52000,0.16000,0.04386479
0.32000,0.56000,0.12000,0.04538866
0.32000,0.60000,0.08000,0.04723663
0.32000,0.64000,0.04000,0.05009127
0.32000,0.68000,-0.00000,0.05206224
0.36000,0.00000,0.64000,0.06201404
0.36000,0.04000,0.60000,0.06101854
0.36000,0.08000,0.56000,0.05893188
0.36000,0.12000,0.52000,0.05634286
0.36000,0.16000,0.48000,0.05341024
0.36000,0.20000,0.44000,0.05082408
0.36000,0.24000,0.40000,0.04887786
0.36000,0.28000,0.36000,0.04785693
0.36000,0.32000,0.32000,0.04793948
0.36000,0.36000,0.28000,0.04911993
0.36000,0.40000,0.24000,0.05128041
0.36000,0.44000,0.20000,0.05425247
0.36000,0.48000,0.16000,0.05731469
0.36000,0.52000,0.12000,0.06075668
0.36000,0.56000,0.08000,0.06348163
0.36000,0.60000,0.04000,0.06522591
0.36000,0.64000,0.00000,0.06771698
0.40000,0.00000,0.60000,0.07527347
0.40000,0.04000,0.56000,0.07322886
0.40000,0.08000,0.52000,0.07187144
0.40000,0.12000,0.48000,0.06887386
0.40000,0.16000,0.44000,0.06629453
0.40000,0.20000,0.40000,0.06444367
0.40000,0.24000,0.36000,0.06338514
0.40000,0.28000,0.32000,0.06315879
0.40000,0.32000,0.28000,0.06377347
0.40000,0.36000,0.24000,0.06520540
0.40000,0.40000,0.20000,0.06740253
0.40000,0.44000,0.16000,0.07029313
0.40000,0.48000,0.12000,0.07344913
0.40000,0.52000,0.08000,0.07686351
0.40000,0.56000,0.04000,0.08007016
0.40000,0.60000,0.00000,0.08299635
0.44000,0.00000,0.56000,0.08891306
0.44000,0.04000,0.52000,0.08683955
0.44000,0.08000,0.48000,0.08506483
0.44000,0.12000,0.44000,0.08306729
0.44000,0.16000,0.40000,0.08127032
0.44000,0.20000,0.36000,0.08010131
0.44000,0.24000,0.32000,0.07958796
0.44000,0.28000,0.28000,0.07974292
0.44000,0.32000,0.24000,0.08056233
0.44000,0.36000,0.20000,0.08202629
0.44000,0.40000,0.16000,0.08410113
0.44000,0.44000,0.12000,0.08674305
0.44000,0.48000,0.08000,0.08990206
0.44000,0.52000,0.04000,0.09329710
0.44000,0.56000,0.00000,0.09663787
0.48000,0.00000,0.52000,0.10281945
0.48000,0.04000,0.48000,0.10106148
0.48000,0.08000,0.44000,0.09980819
0.48000,0.12000,0.40000,0.09874247
0.48000,0.16000,0.36000,0.09750948
0.48000,0.20000,0.32000,0.09681316
0.48000,0.24000,0.28000,0.09666511
0.48000,0.28000,0.24000,0.09706784
0.48000,0.32000,0.20000,0.09801457
0.48000,0.36000,0.16000,0.09948976
0.48000,0.40000,0.12000,0.10147036
0.48000,0.44000,0.08000,0.10392749
0.48000,0.48000,0.04000,0.10682827
0.48000,0.52000,0.00000,0.11013765
