s111,s112,s123,euclidean
0.16000,0.44000,0.40000,0.00075685
0.16000,0.48000,0.36000,0.00077757
0.16000,0.52000,0.32000,0.00063970
0.16000,0.56000,0.28000,0.00058186
0.16000,0.60000,0.24000,0.00039621
0.16000,0.64000,0.20000,0.00032435
0.16000,0.68000,0.16000,0.00040991
0.16000,0.72000,0.12000,0.00056081
0.16000,0.76000,0.08000,0.00068474
0.16000,0.80000,0.04000,0.00080546
0.16000,0.84000,0.00000,0.00259065
0.20000,0.00000,0.80000,0.07134096
0.20000,0.04000,0.76000,0.05680066
0.20000,0.08000,0.72000,0.04553654
0.20000,0.12000,0.68000,0.03663262
0.20000,0.16000,0.64000,0.02204729
0.20000,0.20000,0.60000,0.01585479
0.20000,0.24000,0.56000,0.00813403
0.20000,0.28000,0.52000,0.00189185
0.20000,0.32000,0.48000,0.00111808
0.20000,0.36000,0.44000,0.00098411
0.20000,0.40000,0.40000,0.00078937
0.20000,0.44000,0.36000,0.00082848
0.20000,0.48000,0.32000,0.00078763
0.20000,0.52000,0.28000,0.00053456
0.20000,0.56000,0.24000,0.00048953
0.20000,0.60000,0.20000,0.00042372
0.20000,0.64000,0.16000,0.00038302
0.20000,0.68000,0.12000,0.00048532
0.20000,0.72000,0.08000,0.00061255
0.20000,0.76000,0.04000,0.00064099
0.20000,0.80000,0.00000,0.00129163
0.24000,0.00000,0.76000,0.04989568
0.24000,0.04000,0.72000,0.03572005
0.24000,0.08000,0.68000,0.02728925
0.24000,0.12000,0.64000,0.01771555
0.24000,0.16000,0.60000,0.00886494
0.24000,0.20000,0.56000,0.00471764
0.24000,0.24000,0.52000,0.00167510
0.24000,0.28000,0.48000,0.00105388
0.24000,0.32000,0.44000,0.00108680
0.24000,0.36000,0.40000,0.00089733
0.24000,0.40000,0.36000,0.00091523
0.24000,0.44000,0.32000,0.00072710
0.24000,0.48000,0.28000,0.00060605
0.24000,0.52000,0.24000,0.00057762
0.24000,0.56000,0.20000,0.00067476
0.24000,0.60000,0.16000,0.00046384
0.24000,0.64000,0.12000,0.00047534
0.24000,0.68000,0.08000,0.00049496
0.24000,0.72000,0.04000,0.00065081
0.24000,0.76000,0.00000,0.00110949
0.28000,0.00000,0.72000,0.02904179
0.28000,0.04000,0.68000,0.01664798
0.28000,0.08000,0.64000,0.01048207
0.28000,0.12000,0.60000,0.00301513
0.28000,0.16000,0.56000,0.00062851
0.28000,0.20000,0.52000,0.00235523
0.28000,0.24000,0.48000,0.00134875
0.28000,0.28000,0.44000,0.00320083
0.28000,0.32000,0.40000,0.00150491
0.28000,0.36000,0.36000,0.00128845
0.28000,0.40000,0.32000,0.00087187
0.28000,0.44000,0.28000,0.00094110
0.28000,0.48000,0.24000,0.00075290
0.28000,0.52000,0.20000,0.00071753
0.28000,0.56000,0.16000,0.00041580
0.28000,0.60000,0.12000,0.00054591
0.28000,0.64000,0.08000,0.00048469
0.28000,0.68000,0.04000,0.00064953
0.28000,0.72000,0.00000,0.00099957
0.32000,0.00000,0.68000,0.01923892
0.32000,0.04000,0.64000,0.00130280
0.32000,0.08000,0.60000,0.00481127
0.32000,0.12000,0.56000,0.00872964
0.32000,0.16000,0.52000,0.01255722
0.32000,0.20000,0.48000,0.01354895
0.32000,0.24000,0.44000,0.00674090
0.32000,0.28000,0.40000,0.00585907
0.32000,0.32000,0.36000,0.00871899
0.32000,0.36000,0.32000,0.00658469
0.32000,0.40000,0.28000,0.00204020
0.32000,0.44000,0.24000,0.00089154
0.32000,0.48000,0.20000,0.00080015
0.32000,0.52000,0.16000,0.00063595
0.32000,0.56000,0.12000,0.00093165
0.32000,0.60000,0.08000,0.00115189
0.32000,0.64000,0.04000,0.00122372
0.32000,0.68000,-0.00000,0.00095054
0.36000,0.00000,0.64000,0.02136256
0.36000,0.04000,0.60000,0.01938743
0.36000,0.08000,0.56000,0.02259745
0.36000,0.12000,0.52000,0.02671454
0.36000,0.16000,0.48000,0.02447197
0.36000,0.20000,0.44000,0.02714431
0.36000,0.24000,0.40000,0.02605063
0.36000,0.28000,0.36000,0.02187372
0.36000,0.32000,0.32000,0.02658912
0.36000,0.36000,0.28000,0.01181182
0.36000,0.40000,0.24000,0.00273341
0.36000,0.44000,0.20000,0.00089416
0.36000,0.48000,0.16000,0.00328731
0.36000,0.52000,0.12000,0.00708195
0.36000,0.56000,0.08000,0.00979906
0.36000,0.60000,0.04000,0.01329706
0.36000,0.64000,0.00000,0.01542472
0.40000,0.00000,0.60000,0.04158845
0.40000,0.04000,0.56000,0.04287323
0.40000,0.08000,0.52000,0.04616024
0.40000,0.12000,0.48000,0.04693165
0.40000,0.16000,0.44000,0.04983419
0.40000,0.20000,0.40000,0.04654008
0.40000,0.24000,0.36000,0.04374209
0.40000,0.28000,0.32000,0.04194266
0.40000,0.32000,0.28000,0.02957564
0.40000,0.36000,0.24000,0.01239853
0.40000,0.40000,0.20000,0.01060810
0.40000,0.44000,0.16000,0.01881186
0.40000,0.48000,0.12000,0.02463883
0.40000,0.52000,0.08000,0.02875242
0.40000,0.56000,0.04000,0.03326097
0.40000,0.60000,0.00000,0.03721432
0.44000,0.00000,0.56000,0.06605134
0.44000,0.04000,0.52000,0.06883004
0.44000,0.08000,0.48000,0.06858063
0.44000,0.12000,0.44000,0.07072755
0.44000,0.16000,0.40000,0.06998405
0.44000,0.20000,0.36000,0.06776965
0.44000,0.24000,0.32000,0.06041440
0.44000,0.28000,0.28000,0.04615470
0.44000,0.32000,0.24000,0.03478453
0.44000,0.36000,0.20000,0.03163513
0.44000,0.40000,0.16000,0.03854165
0.44000,0.44000,0.12000,0.04565768
0.44000,0.48000,0.08000,0.05039134
0.44000,0.52000,0.04000,0.05530921
0.44000,0.56000,0.00000,0.05831444
0.48000,0.00000,0.52000,0.09157699
0.48000,0.04000,0.48000,0.09191556
0.48000,0.08000,0.44000,0.09346435
0.48000,0.12000,0.40000,0.09280676
0.48000,0.16000,0.36000,0.09007042
0.48000,0.20000,0.32000,0.08010406
0.48000,0.24000,0.28000,0.06787841
0.48000,0.28000,0.24000,0.05924025
0.48000,0.32000,0.20000,0.05587887
0.48000,0.36000,0.16000,0.05870774
0.48000,0.40000,0.12000,0.06648554
0.48000,0.44000,0.08000,0.07136570
0.48000,0.48000,0.04000,0.07719120
0.48000,0.52000,0.00000,0.08161303
