s111,s112,s123,euclidean
0.00000,0.00000,1.00000,0.17702547
0.00000,0.04000,0.96000,0.16235449
0.00000,0.08000,0.92000,0.14826628
0.00000,0.12000,0.88000,0.13187656
0.00000,0.16000,0.84000,0.11496773
0.00000,0.20000,0.80000,0.09722833
0.00000,0.24000,0.76000,0.08000143
0.00000,0.28000,0.72000,0.06370416
0.00000,0.32000,0.68000,0.04677304
0.00000,0.36000,0.64000,0.03002669
0.00000,0.40000,0.60000,0.01676064
0.00000,0.44000,0.56000,0.00328800
0.00000,0.48000,0.52000,0.00084423
0.00000,0.52000,0.48000,0.00082225
0.00000,0.56000,0.44000,0.00072466
0.00000,0.60000,0.40000,0.00072767
0.00000,0.64000,0.36000,0.00045980
0.00000,0.68000,0.32000,0.00062452
0.00000,0.72000,0.28000,0.00071628
0.00000,0.76000,0.24000,0.00073343
0.00000,0.80000,0.20000,0.00083434
0.00000,0.84000,0.16000,0.00094188
0.00000,0.88000,0.12000,0.00081110
0.00000,0.92000,0.08000,0.00087071
0.00000,0.96000,0.04000,0.00095710
0.00000,1.00000,0.00000,0.00099502
0.04000,0.00000,0.96000,0.15494172
0.04000,0.04000,0.92000,0.13986148
0.04000,0.08000,0.88000,0.12580398
0.04000,0.12000,0.84000,0.11091645
0.04000,0.16000,0.80000,0.09463319
0.04000,0.20000,0.76000,0.07949549
0.04000,0.24000,0.72000,0.06542721
0.04000,0.28000,0.68000,0.04825709
0.04000,0.32000,0.64000,0.03193355
0.04000,0.36000,0.60000,0.01741251
0.04000,0.40000,0.56000,0.00582461
0.04000,0.44000,0.52000,0.00116351
0.04000,0.48000,0.48000,0.00095056
0.04000,0.52000,0.44000,0.00063130
0.04000,0.56000,0.40000,0.00055401
0.04000,0.60000,0.36000,0.00040653
0.04000,0.64000,0.32000,0.00034793
0.04000,0.68000,0.28000,0.00038613
0.04000,0.72000,0.24000,0.00048323
0.04000,0.76000,0.20000,0.00045505
0.04000,0.80000,0.16000,0.00046816
0.04000,0.84000,0.12000,0.00051538
0.04000,0.88000,0.08000,0.00068099
0.04000,0.92000,0.04000,0.00073179
0.04000,0.96000,0.00000,0.00132610
0.08000,0.00000,0.92000,0.13390254
0.08000,0.04000,0.88000,0.11887816
0.08000,0.08000,0.84000,0.10509642
0.08000,0.12000,0.80000,0.09092737
0.08000,0.16000,0.76000,0.07595143
0.08000,0.20000,0.72000,0.06159777
0.08000,0.24000,0.68000,0.04524259
0.08000,0.28000,0.64000,0.03144245
0.08000,0.32000,0.60000,0.01694494
0.08000,0.36000,0.56000,0.00842700
0.08000,0.40000,0.52000,0.00181075
0.08000,0.44000,0.48000,0.00097403
0.08000,0.48000,0.44000,0.00063644
0.08000,0.52000,0.40000,0.00071393
0.08000,0.56000,0.36000,0.00054505
0.08000,0.60000,0.32000,0.00039872
0.08000,0.64000,0.28000,0.00032750
0.08000,0.68000,0.24000,0.00033865
0.08000,0.72000,0.20000,0.00046314
0.08000,0.76000,0.16000,0.00053544
0.08000,0.80000,0.12000,0.00060888
0.08000,0.84000,0.08000,0.00052029
0.08000,0.88000,0.04000,0.00083365
0.08000,0.92000,0.00000,0.00202012
0.12000,0.00000,0.88000,0.11420959
0.12000,0.04000,0.84000,0.09898461
0.12000,0.08000,0.80000,0.08522434
0.12000,0.12000,0.76000,0.07176525
0.12000,0.16000,0.72000,0.05810717
0.12000,0.20000,0.68000,0.04570313
0.12000,0.24000,0.64000,0.03035266
0.12000,0.28000,0.60000,0.01546802
0.12000,0.32000,0.56000,0.00327710
0.12000,0.36000,0.52000,0.00401221
0.12000,0.40000,0.48000,0.00125075
0.12000,0.44000,0.44000,0.00089427
0.12000,0.48000,0.40000,0.00071411
0.12000,0.52000,0.36000,0.00070090
0.12000,0.56000,0.32000,0.00053721
0.12000,0.60000,0.28000,0.00041497
0.12000,0.64000,0.24000,0.00044959
0.12000,0.68000,0.20000,0.00047587
0.12000,0.72000,0.16000,0.00046755
0.12000,0.76000,0.12000,0.00060075
0.12000,0.80000,0.08000,0.00071930
0.12000,0.84000,0.04000,0.00067365
0.12000,0.88000,0.00000,0.00123556
0.16000,0.00000,0.84000,0.09165212
0.16000,0.04000,0.80000,0.07688739
0.16000,0.08000,0.76000,0.06429885
0.16000,0.12000,0.72000,0.05116258
0.16000,0.16000,0.68000,0.03905670
0.16000,0.20000,0.64000,0.03186124
0.16000,0.24000,0.60000,0.01780614
0.16000,0.28000,0.56000,0.00513618
0.16000,0.32000,0.52000,0.00326450
0.16000,0.36000,0.48000,0.00099797
0.16000,0.40000,0.44000,0.00096783
